SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E11A	E11B	E11C	E11D	E2	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR20	CE1	CE2	AR1	AR1A	AR1B	AR2	AR2A	AR3	AR6	AR6A	AR7	AR8	AE1	AE2	AE3	AE4	AE5	AE6	AE7	AE8	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE11A	IE11B	IE11C	IE11D	IE2	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IPPE15	IMEMBR20	ICE1	ICE2	IAR1	IAR1A	IAR1B	IAR2	IAR2A	IAR3	IAR6	IAR6A	IAR7	IAR8	IAE1	IAE2	IAE3	IAE4	IAE5	IAE6	IAE7	IAE8
2021	01	AL	Alabama	-2	-2	1457124498	877602957	8093700	443750	0	4551	33222970	22267760	173861210	320739344	892641	0	2893805080	42921041	5187635561	13677835	1475899987	372888	20422208	1510372918	767550925	9634734600	2869797953	1066231309	177186331	2632116	790144	528691343	6752281	24256271	4668795323	2010951477	276790372	131293099	52380491	90574158	330629082	195909372	94810652	341967079	179441966	190110012	94560271	1427428434	110888332	64845935	27525874	121616655	84750978	113502028	31918922	555048724	64859749	43196409	25644906	11324123	217877021	37640983	53049000	453592191	74692096	29155864	3434137	8437438	276269377	40812933	19248519	452050364	2371486	168288	638185	36566	13388034	61452441	3825688	81880688	6798685	5984211	60201360	2233030	666749	97110	8819517	84800662	587867944	339091791	211616929	485578325	759006091	382163066	207596229	2972920375	72790729	42305549	7917276	115029909	3335342	293314	238336777	0	0	0	0	0	0	0	238336777	0	0	0	0	0	0	0	0	0	0	7880052475	490089585	70632360	1018201	561740146	181292729	359480647	540773376	255456583	665147	9277245	70976778	0	0	80196	80254023	164364215	8870216881	231246485	33210349	0	0	469572145	7410480330	695526	-2	695526	10654	734559	6291497800	1118982530	111495666	202722987	27691495	26418137	0	-2	91971908	-2	-2	-2	415765453	266301941	149057201	12266460	126083583	655058	34281512	406311	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2021	02	AK	Alaska	-2	-2	292770219	223920279	281844	51128	0	0	1641488	1426137	7374335	36400347	0	0	563814649	0	1634811984	33655232	251907917	12021915	139221438	436806502	0	2635433135	745838741	441753471	55176285	1210339	51128	103255633	4483714	5095268	1352329737	-1	-1	-1	-1	-1	103864749	53488551	16392245	90985009	75631286	7142851	44247773	391752464	64408788	30500970	9529490	55812759	56562542	6085773	28829374	251729696	20662265	141982321	6280347	2928507	72726714	58784427	25594416	328958997	5138119	18435152	733294	2242075	90561814	1605150	6804029	125519633	237020	777694	129532	34698	3120416	2070194	1492341	7861895	189065	935366	1356088	315112	123591	33154	1146202	4098578	194262986	245342360	34291464	152283462	295605947	73651355	106621794	1102059368	20747998	13724878	11173045	27091295	291875	139700	72876916	1493363	1058896	3275161	4599751	18676	1143	10428314	83305230	0	0	0	0	0	0	0	0	0	0	2537694335	117690459	61845790	4123262	183659511	22154916	69225431	91380347	7458991	29738	0	222058	0	0	0	222058	78654950	2741720793	78484106	0	0	0	87566422	2450127913	118061	118061	-2	20753	129872	2251246487	286447848	28902699	20483873	1218284	2335819	0	0	9718039	0	-2	-2	62211744	35701671	26072602	721442	-1	-1	6246986	437471	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2021	04	AZ	Arizona	3666990661	-2	-2	71549711	5348782	19954998	204991	18944	32554616	12836759	90497075	354975650	599062	5544	4235562851	319605746	6193001315	14509951	1928930285	4727783	243338845	2191506864	855321372	12939676776	3945359867	1194499002	394117859	2922296	17458082	284348631	322007374	17311598	5838559253	2595872300	432422628	106386258	128660772	115000662	562993088	344441172	89597612	409176658	329105948	176124725	200212248	2111651451	171780295	102486920	54812528	117897152	121714280	68503967	78977358	716172500	128362573	71165773	66811648	35799318	475584667	53547974	182252448	1013524401	18084626	18529384	2777647	10925726	282158770	34140168	13756485	380372806	6901717	60315343	7447715	4142911	118030984	111610750	58861556	367310976	3585795	2689397	3946354	5449308	4744577	299943	16682767	37398141	884806377	539312646	217945789	579248162	1213308242	332616777	491881306	4259119299	121819028	42927862	96365297	148405842	24269107	550062	410068091	304875	87223	256494	233867	47117	50762	933221	411001312	0	0	0	0	0	0	0	0	0	0	10508679864	866788249	249981348	48217041	1164986638	376687859	766388918	1143076777	94622059	1008324	0	6378724	846835	0	448974	7225559	1013290261	12490605992	261650504	0	0	0	371142717	10137537147	968008	968008	-2	10473	1098017	9094370327	1414309533	188051655	138005539	9716720	2648463	-2	-2	362020845	-2	-2	-2	817474238	504506883	298106580	133949385	128262630	5277789	133677511	14824810	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2021	05	AR	Arkansas	2095524529	3008644	-2	13761992	8668165	289567	14811	74269	21062924	10799592	52483496	85634297	18286	40157	2291016893	1379346	3044598645	22650620	1000721846	0	17610065	1040982531	172479190	6377977415	2072793413	604680587	109799883	16781451	6070603	210200764	26038211	11506211	3025762309	1277967203	211844557	89474843	185139371	40463527	198247837	233709917	78032813	213452646	156819941	97888262	78966831	1057118247	56242483	63102006	22717247	61428148	50366225	28882134	23148621	305886864	42345503	79621176	18929910	4206951	223733186	26112847	42303461	437253034	13160158	112957466	6270659	5348423	149071948	27676999	35245680	349731333	1401358	22498681	920519	464816	14366660	31186065	11395285	82233384	357241	3181982	15766213	515787	3521409	429171	4198268	27970071	310353222	492572547	141716842	284951955	583512709	180989413	183862861	2177959549	76696096	24731426	60982692	96032366	5033061	1034584	259477164	14883	11628	34014	2047265	2847	59624	2167414	261644578	0	0	0	0	0	0	0	0	0	0	5465366436	438821648	108794762	11403938	559020348	141342469	166614817	307957286	20527946	144064	0	9438653	510231	0	89869	9948884	233740136	6168405050	157324221	0	0	0	229348728	5236017708	445898	-2	445898	11743	486305	4490991873	708874623	102366833	226260887	0	0	-2	-2	24915703	-2	-2	-2	318168505	147587270	123317526	31800838	76776425	18685400	29510305	12235540	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2021	06	CA	California	30374365025	1488179463	-2	-2	465950	458217348	1438858	0	511825921	19052566	149025660	4032335473	0	0	36576688916	0	60071357166	523310064	14332494462	10975714	296601720	15163381960	14259040731	111811428042	30949087272	14250760906	2782764587	1012554553	593351306	3624981237	110171794	18072803	52638221358	21059372379	3932881295	448335095	795803154	512122993	3672963959	3260572570	416264602	3737338757	3110110676	609021665	2151583285	16957855514	1666841814	1422616702	194812005	1704144589	1613187921	343177898	1040055760	7984836689	621234773	753173218	771008384	385861256	1327967265	410507439	1205594303	5475346638	141345785	289009205	16150819	118248342	2252350519	85409886	556091820	3458606376	3476523	14647375	842436	10208951	134767443	123731822	78735843	366410393	555114	4584917	16654389	5666919	394775	116585	9428471	37401170	6102941445	5729956612	1414890199	5951259863	8304011156	1448233473	4962753639	33914046387	985460831	511993216	115924386	1127898095	25079300	640298	2741916826	97176813	51803126	17724166	6878724	3207069	257526	173840355	2915757181	0	0	0	0	0	0	0	0	0	0	89468024926	9120566994	361023028	240050067	9721640089	3458595697	4804329590	8262925287	527885711	618259	0	547025750	0	0	2074539	547025750	1108634449	100772137830	1402927382	533493084	0	0	2106403500	87361621426	5931300	5931300	-2	14729	6064504	77417611009	12050413917	1212370224	1011881368	171812920	237255570	450148	-1	4261365259	-1	-2	-2	5832070889	3244408379	2373879509	255588453	-1	-1	641573645	202120673	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2021	08	CO	Colorado	5991889307	42868984	-2	-2	52712366	6271389	1146813	61844	21468778	11582115	100036427	508625336	7490398	1301753	6739122277	37589249	5013783142	94164972	1488796702	0	16965279	1599926953	1760852295	13390421621	3986295787	1233160250	167983990	91814182	10879825	332588867	46422046	28287860	5840130936	2678122536	522430003	156280270	283245337	52543052	520071619	385735441	72697470	588679923	349568744	150886980	312909703	2380549880	145205972	102973198	21639859	166025346	120864116	55929902	106426873	719065266	63119175	78925117	85811219	20287486	334194151	36623085	362479041	981439274	37141145	56048686	20648233	26115301	247996996	30008625	97046434	515005420	2913338	4356120	6593123	2965226	34892710	21912074	26830024	100462615	1868476	3330318	4989843	9239321	11982262	109496	11431260	42950976	767406387	627012760	205786624	810347377	1064606269	273558088	890293311	4639010816	107797478	37851524	21521285	114263247	2016714	408647	281842181	28646536	9148120	2752543	2074742	2466222	217839	42839780	324681961	0	0	0	0	0	0	0	0	0	0	10803823713	1565860937	373676984	93209923	2032747844	641160692	985941760	1627102452	52347628	492041	0	26100135	0	0	151839	26100135	618898384	13067030797	158858393	960832	0	0	334089097	10469734616	753412	-2	753412	13896	883199	9536480616	1132705992	104582311	150688814	31187675	8650711	176350	-2	482534756	-2	-2	-2	750238074	455223510	282208032	26941464	19907473	1796946	59510464	9774578	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2021	09	CT	Connecticut	-2	-2	7125637978	-2	6212948	348046357	6886	15191930	90537	114525297	0	30244815	0	778279	7277496740	0	4484299476	41936577	615808769	0	13736105	671481451	1049246705	12433277667	4171719825	2113710963	210261526	344903462	345992861	151103516	88385509	4142034	6995841326	2624681762	578165089	20698359	247586095	18592669	520033756	205446438	120444308	408070206	334815033	20805257	150262147	1759877145	258563652	108888885	69606045	207408401	189077590	12830842	101642745	948018160	60355696	53842128	45392044	20953852	288117017	465142046	99006602	1032809385	15332457	36760027	4985272	9184581	185168906	9001540	11744832	272177615	6309521	35158061	2592189	3634849	42663297	1874650	15856492	108089059	1336963	1684117	6810402	2353178	2442859	140720	11900119	26668358	855622524	406621595	247238071	647970218	999621405	507920405	374556445	4039550663	58236356	38683470	20691326	71004850	2926826	1927653	190543655	49194031	14267887	9266443	8179392	1033140	2158121	83065874	273609529	0	0	0	0	0	0	25390369	0	0	0	11309001518	486629527	79954824	26674417	593258768	108448800	282362087	390810887	65169265	690059	35149181	42766304	4288056	134260663	0	216464204	307753834	12385018348	93001059	33453468	0	0	247977937	11061023581	483700	-2	483700	22868	509058	9073798659	477637056	69465976	17970768	182311	5679893	-2	-2	131472008	-2	-2	-2	222763139	-2	-2	38250641	-2	-2	-2	57213962	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	A	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	A	T	R	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2021	10	DE	Delaware	764822680	-2	-2	2951453	4704738	102317581	0	1749157	9183966	1852097	2156359	26912048	0	84536	812667877	2951453	1747079097	10055286	201013195	0	0	211068481	219650042	2773766908	799713748	445888544	38786	20361420	102317798	39809655	11208259	0	1305812153	457757519	313703250	28252978	-1	3658474	130759033	44653442	12536779	76870795	77074092	22778258	28118539	392790938	77348121	23207755	7142217	43474876	42444400	4477632	16100182	214195183	43034754	18092118	4129780	571216	74734948	75113851	26165401	241842068	2697220	2115124	0	2886345	46647644	2011317	13829408	70187058	99516	723473	94670	441181	1285022	774463	6055800	9474125	0	2976011	0	0	0	0	790910	3766921	253839128	91044450	23808776	123803232	240901084	104381058	85004440	922782168	32716430	7390452	1712580	20158719	1054396	0	61978181	0	0	0	67916	0	178427	246343	62224524	0	0	0	0	0	0	0	0	0	0	2290818845	153293153	0	1997625	155290778	24249658	53394684	77644342	0	0	0	7704837	0	0	701444	7704837	24435849	2476252684	29568498	20724662	0	0	59090890	2231727955	140353	-2	140353	15901	138092	1814972589	113028947	36439448	9444881	0	396246	0	-2	0	0	-2	-2	39138196	13116497	23190465	12669689	8079529	9693218	6586995	-1	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2021	11	DC	District of Columbia	-2	-2	874753660	1645152262	0	0	157920	0	6487209	56577	1503342	69566734	0	90814	2597768518	0	-2	45651686	243556633	0	5670	289213989	7088425	2886982507	799166062	205075895	31625735	60238495	0	26250499	16113042	12495597	1134852283	499500947	138792100	9382352	17600696	3260946	157185006	72037815	38346188	130984322	67871233	75504635	54124155	596053354	26270431	9868898	6534012	22386030	15771599	20453165	10913980	112198115	35726375	19969263	55342101	3379973	97193814	4690977	42937528	259240031	1662377	2142811	2834690	2067810	6417716	23443000	1004334	39572738	1893239	2471481	1078568	1459563	3835518	1717392	27610099	40065860	383745	262945	34298066	2073385	20741621	6284531	12946460	76990753	221227934	104281732	137355057	160891520	207995983	130376308	121926457	1084054991	4952073	884639	25076546	1568449	581678	5577601	38059308	23940	4309	174793	31449	0	62079	296570	38355878	0	0	0	0	0	0	0	0	0	0	2257263152	468107626	12353595	24798963	505260184	166849446	148379134	315228580	0	0	0	20890021	0	0	72358	20890021	93985496	2840246295	41024749	2348550	0	0	45181952	2212081200	78711	-2	78711	28104	89883	1725490915	242956457	26520853	36959911	7566842	0	0	-2	-2	76102	-2	-2	40576851	8137813	19019196	37698947	2485360	27615493	1542214	231741	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2021	12	FL	Florida	13972955525	1371920087	-2	-2	357101	0	2746292	1848124	18903851	46507849	208489191	1257567593	809977	0	16880257466	0	14072266842	240550882	4468894684	54264980	77872143	4841582689	985055325	35794106997	10289504342	3419346731	3713355839	611460	0	698505478	85400323	224903590	18346227440	5944558034	2115289505	235920643	347322050	168376417	1022349250	1185327298	107708319	1196704432	1016273871	528123805	413944939	5470431914	340268949	372979206	45287659	395462413	425330272	238782982	145698470	1963809951	181658575	177270165	37604056	13733822	911329758	134485350	216721130	1672802856	35031275	155437251	3455417	12707150	785749955	105397521	31510185	1129288754	7413695	8910037	1482739	7549726	15276292	4747485	3999314	49379288	14324140	21677752	122858886	3367142	144094211	13258043	51601726	371181900	1593632189	1912691672	316914337	1621974959	3282778067	1020047701	859476450	10607515375	380563148	187171783	112978411	545434143	20577864	34968944	1261116429	0	0	0	0	0	0	0	1261116429	0	0	0	0	0	0	0	0	0	0	30214859244	2522216560	194048069	563881468	3280146097	629131162	973175968	1602307130	254719656	1251486	0	300127524	0	0	0	300127524	914538498	34206461482	850973741	15194527	0	0	1125078678	29089780566	2706680	2706680	-2	10747	2791707	25799690324	4415168920	546935502	524425454	0	-2	-2	-2	-2	-2	-2	-2	1106166278	565338847	536008949	23752756	160808484	12266864	197693693	4818482	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
