INDEX_NUMBER,STATENAME,SCH_NAME,WEBSITE
1,ALABAMA,Albertville Middle School,http://www.albertk12.org
2,ALABAMA,Albertville High School,http://www.albertk12.org
3,ALABAMA,Albertville Intermediate School,http://www.albertk12.org
4,ALABAMA,Albertville Elementary School,http://www.albertk12.org
5,ALABAMA,Albertville Kindergarten and PreK,http://www.albertk12.org
6,ALABAMA,Albertville Primary School,http://www.albertk12.org
8,ALABAMA,Asbury High School,http://www.marshallk12.org
9,ALABAMA,Claysville School,http://www.marshallk12.org
10,ALABAMA,Douglas Elementary School,http://www.marshallk12.org
11,ALABAMA,Douglas High School,http://www.marshallk12.org
12,ALABAMA,Brindlee Mountain Elementary School,http://www.marshallk12.org
13,ALABAMA,Kate D Smith DAR High School,http://www.marshallk12.org
14,ALABAMA,Brindlee Mountain Primary School,http://www.marshallk12.org
16,ALABAMA,Marshall Technical School,http://www.marshallk12.org
17,ALABAMA,Robert D Sloman Primary,http://www.marshallk12.org
18,ALABAMA,Brindlee Mountain High School,http://www.marshallk12.org
20,ALABAMA,Douglas Middle School,http://www.marshallk12.org
21,ALABAMA,Asbury Elementary School,http://www.marshallk12.org
36,ALABAMA,Riverchase Elementary School,http://www.hoovercityschools.net
38,ALABAMA,Crossroads School,http://www.hoovercityschools.net
39,ALABAMA,Riverchase Career Connection Center,http://www.hoovercityschools.net
51,ALABAMA,Alabama School For Deaf,
52,ALABAMA,Alabama School For Blind,
53,ALABAMA,Helen Keller School,
54,ALABAMA,E H Gentry Technical Facility,
55,ALABAMA,Child Count Only,
56,ALABAMA,Leeds Elementary School,http://www.leedsk12.org
58,ALABAMA,Leeds High School,http://www.leedsk12.org
70,ALABAMA,Alexander City Middle School,http://www.alexcityschools.net
71,ALABAMA,Benjamin Russell High School,http://www.alexcityschools.net
72,ALABAMA,Jim Pearson Elementary School,http://www.alexcityschools.net
73,ALABAMA,Nathaniel H Stephens Elementary School,http://www.alexcityschools.net
74,ALABAMA,William L Radney Elementary School,http://www.alexcityschools.net
78,ALABAMA,Anniston High School,http://www.annistonschools.com
79,ALABAMA,Golden Springs Elementary School,http://www.annistonschools.com
80,ALABAMA,Randolph Park Elementary School,http://www.annistonschools.com
81,ALABAMA,Anniston City Boot Camp School,http://www.annistonschools.com
82,ALABAMA,Anniston Middle School,http://www.annistonschools.com
83,ALABAMA,Cobb Preparatory Academy,http://www.annistonschools.com
84,ALABAMA,Arab Elementary School,http://www.arabcityschools.org
86,ALABAMA,Arab Junior High School,http://www.arabcityschools.org
96,ALABAMA,Childersburg Boot Camp,
97,ALABAMA,Draper Correctional Facility,
98,ALABAMA,Tutwiler Prison,
99,ALABAMA,W E Donaldson,
100,ALABAMA,JF Ingram State Technical College Special Services,
101,ALABAMA,Kilby Correctional Facility,
102,ALABAMA,Staton Correctional Facility,
103,ALABAMA,Frank Lee Youth Center,
104,ALABAMA,Etowah High School,http://www.attalla.k12.al.us
105,ALABAMA,Etowah Middle School,http://www.attalla.k12.al.us
106,ALABAMA,Attalla Elementary School,http://www.attalla.k12.al.us
111,ALABAMA,Chickasaw City Elementary School,http://www.chickasawschools.com
112,ALABAMA,Chickasaw City High School,http://www.chickasawschools.com
113,ALABAMA,Chickasaw Middle School,http://www.chickasawschools.com
114,ALABAMA,Alabama Destinations Career Academy,http://www.chickasawschools.com
122,ALABAMA,Pelham Oaks,http://www.nonesupplied.com
123,ALABAMA,Pelham Ridge,http://www.nonesupplied.com
124,ALABAMA,Pelham Park Middle School,http://www.nonesupplied.com
125,ALABAMA,Pelham High School,http://www.nonesupplied.com
130,ALABAMA,Acceleration Day and Evening Academy,http://www.accelacademymobile.com
131,ALABAMA,Acceleration Preparatory Academy,http://www.accelacademymobile.com
132,ALABAMA,University Charter School  Elementary,http://www.universitycharterschool.org
133,ALABAMA,University Charter School  Secondary,http://www.universitycharterschool.org
135,ALABAMA,Gulf Shores Elementary School,http://www.nonesupplied.com
136,ALABAMA,Gulf Shores Middle School,http://www.nonesupplied.com
137,ALABAMA,Gulf Shores High School,http://www.nonesupplied.com
138,ALABAMA,LEAD Academy Building A,http://www.leadacademyal.org
139,ALABAMA,LEAD Academy Building B,http://www.leadacademyal.org
140,ALABAMA,i3 Academy Phase 1,http://www.i3academy.org
141,ALABAMA,i3 Academy Phase 2,http://www.i3academy.org
169,ALABAMA,Autauga County Alternative School,
172,ALABAMA,Louise M Smith Development Center,
214,ALABAMA,CF Taylor Alternative School,http://www.nonesupplied.com
220,ALABAMA,Barbour County High School,
221,ALABAMA,Barbour County Primary School,
232,ALABAMA,Bibb County High School,http://www.bibbed.org
233,ALABAMA,Centreville Middle School,http://www.bibbed.org
234,ALABAMA,Brent Elementary School,http://www.bibbed.org
237,ALABAMA,West Blocton High School,http://www.bibbed.org
239,ALABAMA,West Blocton Middle School,http://www.bibbed.org
241,ALABAMA,Engle Day Treatment,
271,ALABAMA,City Elementary,
273,ALABAMA,Adolescent Day Treatment,
279,ALABAMA,Homebound Elementary School,
280,ALABAMA,Homebound High School,
289,ALABAMA,BCS Virtual Academy of Learning,
310,ALABAMA,Bullock County High School,http://www.bullock.k12.al.us
311,ALABAMA,South Highlands Middle School,http://www.bullock.k12.al.us
314,ALABAMA,Greenville High School,http://www.butlerco.k12.al.us
315,ALABAMA,Greenville Middle School,http://www.butlerco.k12.al.us
316,ALABAMA,McKenzie High School,http://www.butlerco.k12.al.us
317,ALABAMA,WO Parmer Elementary School,http://www.butlerco.k12.al.us
318,ALABAMA,Butler County Area Vocational School,http://www.butlerco.k12.al.us
319,ALABAMA,Greenville Elementary School,http://www.butlerco.k12.al.us
320,ALABAMA,Georgiana School,http://www.butlerco.k12.al.us
330,ALABAMA,Calhoun County Alternative School,
362,ALABAMA,Clanton Elementary School,http://chilton.k12.al.us
364,ALABAMA,Verbena High School,http://www.chilton.k12.al.us
366,ALABAMA,W A Lecroy Career  Technical Center,http://www.chilton.k12.al.us
367,ALABAMA,Clanton Intermediate School,http://www.chilton.k12.al.us
368,ALABAMA,Chilton County High School,http://chilton.k12.al.us
369,ALABAMA,Jemison Elementary School,http://chilton.k12.al.us
371,ALABAMA,Jemison Intermediate School,http://www.nonesupplied.com
376,ALABAMA,Clarke County High School,http://www.clarkecountyschools.org
377,ALABAMA,Grove Hill Elementary School,http://www.clarkecountyschools.org
378,ALABAMA,Jackson Middle School,http://www.clarkecountyschools.org
380,ALABAMA,Wilson Hall Middle School,http://www.clarkecountyschools.org
381,ALABAMA,Jackson Intermediate School,http://www.clarkecountyschools.org
382,ALABAMA,Jackson High School,http://www.clarkecountyschools.org
395,ALABAMA,Cleburne County Alternative School,http://www.nonesupplied.com
396,ALABAMA,Kinston School,http://www.coffeecountyschools.org
397,ALABAMA,Zion Chapel High School,http://www.coffeecountyschools.org
398,ALABAMA,New Brockton High School,http://www.coffeecountyschools.org
399,ALABAMA,New Brockton Elementary School,http://www.coffeecountyschools.org
401,ALABAMA,Cherokee Elementary School,http://www.colbert.k12.al.us
403,ALABAMA,Colbert County High School,http://www.colbert.k12.al.us
404,ALABAMA,Colbert Heights High School,http://www.colbert.k12.al.us
405,ALABAMA,Hatton Elementary School,http://www.colbert.k12.al.us
406,ALABAMA,Leighton Elementary School,http://www.colbert.k12.al.us
407,ALABAMA,New Bethel Elementary School,http://www.colbert.k12.al.us
408,ALABAMA,Colbert Heights Elementary School,http://www.colbert.k12.al.us
409,ALABAMA,Conecuh County Junior High School,http://www.conecuh.k12.al.us
410,ALABAMA,Evergreen Elementary School,http://www.conecuh.k12.al.us
411,ALABAMA,Lyeffion Junior High School,http://www.conecuh.k12.al.us
412,ALABAMA,Thurgood Marshall Middle School,http://www.conecuh.k12.al.us
413,ALABAMA,Repton Junior High School,http://www.conecuh.k12.al.us
414,ALABAMA,Hillcrest High School,http://www.conecuh.k12.al.us
415,ALABAMA,Genesis School,
417,ALABAMA,Conecuh County Area Vocational Center,http://www.conecuh.k12.al.us
418,ALABAMA,Central High School,
419,ALABAMA,Central Elementary School,
420,ALABAMA,Straughn Elementary School,http://www.cov.k12.al.us
422,ALABAMA,Florala High School,http://www.cov.k12.al.us
423,ALABAMA,Pleasant Home School,http://www.cov.k12.al.us
424,ALABAMA,Straughn High School,http://www.cov.k12.al.us
425,ALABAMA,WS Harlan Elementary School,http://www.cov.k12.al.us
426,ALABAMA,Straughn Middle School,http://www.cov.k12.al.us
427,ALABAMA,Red Level School,http://www.cov.k12.al.us
431,ALABAMA,Crenshaw County Career Academy,
437,ALABAMA,Cullman City Career Tech,http://www.cullmancats.net
438,ALABAMA,Cullman Community Comprehensive Learning Center,http://www.cullmancats.net
463,ALABAMA,Cullman Area Resource Education,
466,ALABAMA,GW Long Elementary School,http://www.dalecountyboe.org
467,ALABAMA,Ariton School,http://www.dalecountyboe.org
468,ALABAMA,Dale County High School,http://www.dalecountyboe.org
469,ALABAMA,George W Long High School,http://www.dalecountyboe.org
473,ALABAMA,Opportunity Academy,http://www.dalecountyboe.org
474,ALABAMA,Bridge Academy,http://www.dalecountyboe.org
478,ALABAMA,Brantley Elementary School,
479,ALABAMA,Dallas County High School,http://dallask12.org
482,ALABAMA,Salem Elementary School,
484,ALABAMA,Southside Primary School,
485,ALABAMA,Tipton Durant Middle School,
486,ALABAMA,Valley Grande Elementary School,
489,ALABAMA,Bruce K Craig Elementary School,http://dallask12.org
490,ALABAMA,Collinsville High School,http://www.dekalbk12.org
492,ALABAMA,Fyffe High School,http://www.dekalbk12.org
493,ALABAMA,Geraldine School,http://www.dekalbk12.org
494,ALABAMA,Henagar Junior High School,http://www.dekalbk12.org
495,ALABAMA,Ider School,http://www.dekalbk12.org
497,ALABAMA,Ruhuma Junior High School,http://www.dekalbk12.org
499,ALABAMA,Valley Head High School,http://www.dekalbk12.org
500,ALABAMA,Alternative School,
502,ALABAMA,Dekalb Technical Center,http://www.dekalbk12.org
504,ALABAMA,Crossville Middle School,http://www.dekalbk12.org
519,ALABAMA,Long Term Case,
523,ALABAMA,Austin Junior High School,http://www.dcs.edu
524,ALABAMA,Career Technical Center,http://www.dcs.edu
525,ALABAMA,Demopolis High School,http://www.dcsedu.com
526,ALABAMA,Demopolis Middle School,http://www.dcsedu.com
527,ALABAMA,US Jones Elementary School,http://www.dcsedu.com
528,ALABAMA,Westside Elementary School,http://www.dcsedu.com
543,ALABAMA,Dothan Preparatory Academy,http://www.dothan.k12.al.us
544,ALABAMA,Dothan City Early Education Center,http://www.dothan.k12.al.us
